"","x"
"1","18507502"
"2","18507433"
"3","18507455"
"4","18507473"
"5","18507435"
"6","18507475"
"7","18507437"
"8","18507462"
"9","18507441"
"10","18507517"
"11","18507465"
"12","18507444"
"13","18507446"
"14","18507448"
"15","20847967"
"16","18507450"
"17","18507470"
"18","18507534"
"19","18507456"
"20","18507511"
"21","18507458"
"22","18507490"
"23","18507463"
"24","18507466"
"25","20848095"
"26","18507526"
"27","18507485"
"28","18507472"
"29","18507506"
"30","18507514"
"31","18507478"
"32","18507523"
