|active_status|content_node_id|created_on|first_name|id|image_id|inactive_info|info|jersey_number|last_name|list_position|position|roster_id|roster_type|status|thumbnail|title|updated_on|url|full_name
0|True|23387170|2017-06-05T10:49:22-07:00|Lexi|18800503|91295450.0|{}||5|Bender|1|D|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/5450/Pride_Lexi_Bender_002_small.jpg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800503|LexiBender
1|True|23387174|2017-06-05T10:49:35-07:00|Jillian|18800533|91297658.0|{}||14|Dempsey|1|F|2789543|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9129/7658/Pride_Jillian_Dempsey_002_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18800533|JillianDempsey
2|True|23387176|2017-06-05T10:49:41-07:00|Emily|18800540|91297775.0|{}||15|Field|1|F|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/7775/Pride_Emily_Field_003_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18800540|EmilyField
3|True|23387177|2017-06-05T10:49:44-07:00|Alyssa|18800545|91295209.0|{}||2|Gagliardi|1|D|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/5209/Pride_Alyssa_Gagliardi_002_small.jpg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800545|AlyssaGagliardi
4|True|23387182|2017-06-05T10:50:00-07:00|Brittany|18800566|91298203.0|{}||29|Ott|1|G|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/8203/Pride_Brittany_Ott_002_small.jpg||2018-03-19T07:13:45-07:00|https://www.nwhl.zone/roster_players/18800566|BrittanyOtt
5|True|23387185|2017-06-05T10:50:13-07:00|Jordan|18800583|91297225.0|{}||11|Smelker|1|F|2789543|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9129/7225/Pride_Jordan_Smelker_002_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18800583|JordanSmelker
6|True|23792877|2017-06-05T10:50:17-07:00|Marissa|18800585|91297472.0|{}||12|Gedman|1|D|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/7472/Pride_Marisa_Gedman_002_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18800585|MarissaGedman
7|True|23792961|2017-06-05T10:50:20-07:00|Kathryn|18800591|91298096.0|{}||27|Tomaselli|1|F|2789543|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9129/8096/Pride_Kathryn_Tomaselli_002_small.jpg||2018-03-19T07:13:45-07:00|https://www.nwhl.zone/roster_players/18800591|KathrynTomaselli
8|True|23793166|2017-06-05T10:50:23-07:00|Michaela|18800595|91297856.0|{}||18|Levine|1|F|2789543|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9129/7856/Pride_Michaela_Levine_003_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18800595|MichaelaLevine
9|True|24227081|2017-06-05T10:50:38-07:00|Denna |18800633|84544657.0|{}||24|Laing|1|F|2789543|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/8454/4657/BOS_headshots1_small.jpg||2018-03-11T12:18:04-07:00|https://www.nwhl.zone/roster_players/18800633|Denna Laing
10|True|27919615|2017-06-05T10:50:47-07:00|Mary|18800641|91296295.0|{}||7|Parker|4|F|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/6295/Pride_Mary_Parker_002_small.jpg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800641|MaryParker
11|True|23387287|2017-06-05T11:07:20-07:00|Kaliya|18801315|91296836.0|{}||10|Johnson|4|D|2789543|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9129/6836/Pride_Kaliya_Johnson_002_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/18801315|KaliyaJohnson
12|True|23387324|2017-06-06T22:20:06-07:00|Janine|18844857|91298066.0|{}||26|Weber|4|F|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/8066/Pride_Janine_Weber_002_small.jpg||2018-03-17T17:01:10-07:00|https://www.nwhl.zone/roster_players/18844857|JanineWeber
13|True|30607003|2017-06-06T22:26:10-07:00|Sydney |18844871|91297909.0|{}||19| Daniels|4|F|2789543|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9129/7909/Pride_Sydney_Daniels_003_small.jpg||2018-03-19T07:13:45-07:00|https://www.nwhl.zone/roster_players/18844871|Sydney  Daniels
14|True|30607007|2017-06-06T22:27:51-07:00|Brianna |18844872|91363220.0|{}||42|Laing|4|G|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9136/3220/Pride_Brianna_Laing_004__1__small.jpg||2018-03-19T06:55:01-07:00|https://www.nwhl.zone/roster_players/18844872|Brianna Laing
